word,appears_in
star,"['35po', '109po']"
glide,"['35po', '60po']"
frantic,['35po']
sullenness,['35po']
financial,['35po']
grass,"['35po', '62po', '84po']"
greediness,['35po']
object,"['35po', '109po']"
wood,"['35po', '41po', '69po', '78po', '109po']"
hold,"['35po', '58po']"
pine,['35po']
rush,"['35po', '58po']"
bottom,"['35po', '60po', '105po']"
crystal,['35po']
remarkable,"['35po', '62po']"
woolen,['35po']
gilded,['35po']
country,['35po']
couple,['35po']
practices [practice],['35po']
eat,"['36to', '80po', '97po', '109po']"
pleasant,"['36po', '109po']"
simple,"['36po', '58po', '98po', '109po']"
habitual,['36po']
tyrannical,['36po']
educated,['36po']
resumed [resume],"['36po', '58po', '109po']"
articulate,['36po']
separation,"['36po', '58po', '60po', '61po', '109po']"
tardy,['36po']
tumbler,"['37to', '109po']"
